2026-01-28 00:11:40 INFO  org.example.Main - Starting RevPassword Manager Application
2026-01-28 00:11:41 INFO  org.example.config.DBConnection - Database connection established successfully
2026-01-28 00:11:41 INFO  org.example.controller.MainController - Welcome to RevPassword Manager
2026-01-28 00:11:41 INFO  org.example.controller.MainController - 1. Register
2026-01-28 00:11:41 INFO  org.example.controller.MainController - 2. Login
2026-01-28 00:11:41 INFO  org.example.controller.MainController - 3. Forgot Password
2026-01-28 00:11:41 INFO  org.example.controller.MainController - 0. Exit
2026-01-28 00:11:41 INFO  org.example.controller.MainController - Enter choice:
2026-01-28 00:11:44 INFO  org.example.controller.MainController - Enter username:
2026-01-28 00:11:47 INFO  org.example.controller.MainController - Enter master password:
2026-01-28 00:11:51 INFO  org.example.controller.MainController - Login successful. Welcome, Hasini B
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 1. Update Profile
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 2. Change Master Password
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 3. Add Password
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 4. List Passwords
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 5. View Password
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 6. Update Password
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 7. Delete Password
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 8. Search Password
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 9. Add Category
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 10. List Categories
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 11. Delete Category
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 12. Generate Strong Password
2026-01-28 00:11:51 INFO  org.example.controller.MainController - 13. Logout
2026-01-28 00:11:51 INFO  org.example.controller.MainController - Enter choice:
2026-01-28 00:12:21 INFO  org.example.controller.MainController - Enter old password:
2026-01-28 00:12:28 INFO  org.example.controller.MainController - Generating verification code...
2026-01-28 00:12:28 INFO  org.example.controller.MainController - OTP: 871398
2026-01-28 00:12:28 INFO  org.example.controller.MainController - Enter verification code:
2026-01-28 00:12:34 INFO  org.example.controller.MainController - Enter new password:
2026-01-28 00:12:37 WARN  org.example.controller.MainController - New password must be at least 6 characters.
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 1. Update Profile
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 2. Change Master Password
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 3. Add Password
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 4. List Passwords
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 5. View Password
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 6. Update Password
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 7. Delete Password
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 8. Search Password
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 9. Add Category
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 10. List Categories
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 11. Delete Category
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 12. Generate Strong Password
2026-01-28 00:12:37 INFO  org.example.controller.MainController - 13. Logout
2026-01-28 00:12:37 INFO  org.example.controller.MainController - Enter choice:
